svenska,english
som,as
jag,I
hans,his
att,to
han,he
var,where
för,for
på,on
är,is
med,with
de,the
vara,be
vid,at
ett,a
ha,have
detta,this
från,from
genom,By
het,hot
ord,words
men,but
vad,What
några,some
är,is
den,the
du,you
eller,or
hade,had
den,the
av,of
till,to
och,and
en,a
i,in
vi,we
kan,can
ut,out
andra,Other
var,where
vilken,which
göra,do
deras,their
tid,time
om,If
kommer,is coming
hur,how
sa,said
ett,a
varje,each
berätta,tell
gör,do
uppsättning,set
tre,three
vill,want
luft,air
väl,well
också,also
spela,play
liten,small
ände,End
sätta,put
hem,Home
läsa,read
sidan,page
port,port
stor,great
stava,spell
lägg,put
även,also
mark,ground
här,here
must,must
stor,great
hög,high
sådan,such
följ,follow
handling,action
varför,why
be,ask
män,men
förändring,change
gick,went
ljus,light
slag,kind
off,off
behöver,need
hus,House
bilden,the picture
försök,attempt
oss,us
igen,again
djur,animal
punkt,point
mor,mother
världen,the world
nära,near
bygga,build
själv,self
jord,soil
far,Father
någon,any
ny,new
arbete,work
delen,the part
ta,take
få,get
plats,place
gjort,done
lever,liver
där,where
efter,after
tillbaka,back
liten,small
endast,only
rund,round
människa,person
år,year
kom,come
visar,shows
varje,each
bra,Good
mig,me
ge,give
vår,our
enligt,according to
namn,name
mycket,very
genom,By
bara,only
formulär,form
meningen,the meaning
bra,Good
tro,believe
säga,say
hjälpa,help
låg,low
linje,line
skiljer,differs
tur,tour
orsak,cause
mycket,very
betyda,mean
före,before
drag,features
höger,Right
pojke,Boy
gammal,old
alltför,too
samma,same
hon,she
alla,all
där,where
när,when
upp,up
använda,use
din,your
sätt,way
ca,approx
många,many
sedan,then
dem,them
skriva,write
skulle,would
liknande,similar
så,so
dessa,these
hennes,her
lång,long
göra,do
sak,Thing
se,see
honom,him
två,two
har,have
ser,see
mer,more
dag,day
kunde,could
gå,go
komma,come
gjorde,did
antal,number
sund,sound
nej,No
mest,most
människor,people
min,my
över,over
vet,know
vatten,water
än,than
samtal,Call
först,first
som,as
får,may
ner,down
sida,page
varit,been
nu,Now
hitta,find
huvud,head
stå,stand
egen,own
sida,page
bör,should
land,country
funnen,found
svar,response
skola,school
växa,grow
studie,study
fortfarande,still
lära,teach
växt,Plant
lock,lid
mat,food
sol,solar
fyra,four
mellan,between
tillstånd,condition
hålla,keep
öga,eye
aldrig,Never
sista,last
låt,song
trodde,thought
ort,locality
träd,Tree
korsa,cross
gård,courtyard
hård,hard
start,Start
kanske,perhaps
berättelse,story
sågen,the saw
långt,far
hav,sea
rita,draw
vänster,left
sen,late
köra,drive
inte,not
medan,while
tryck,pressure
nära,near
natt,night
verklig,real
liv,life
några,some
norr,north
boken,the book
bära,wear
tog,took
vetenskap,science
äta,eat
rum,room
vän,Friend
började,began
idé,idea
fisk,fish
berg,mountain
stoppa,stop
en gång,once
bas,base
höra,hear
häst,HORSE
snitt,cut
säker,sure
klocka,clock
färg,Paint
ansikte,face
trä,wood
huvud,head
öppen,open
tyckas,seem
tillsammans,Together
nästa,next
vit,White
barn,children
börja,start
fick,got
gå,go
exempel,example
lindra,relieve
papper,paper
grupp,group
alltid,always
musik,music
de som,those who
båda,both
märke,make
ofta,Often
bokstav,letter
tills,until
mil,miles
flod,river
bil,car
fot,Foot
vård,care
andra,Other
tillräckligt,enough
vanlig,common
flicka,girl
vanligt,usual
ung,young
klar,clear
ovan,above
någonsin,ever
röd,RED
lista,list
though,though
känna,feel
diskussion,discussion
fågel,bird
snart,soon
kropp,body
hund,dog
familj,family
direkt,directly
pose,pose
lämna,leave
sång,singing
mäta,measure
dörr,door
produkt,product
svart,black
kort,short
siffran,the number
klass,class
vind,wind
fråga,question
hända,happen
fullständig,full
skepp,Ship
område,area
halv,half
vagga,rock
för,for
eld,Fire
söder,south
problemet,the problem
stycke,paragraph
sa,said
visste,knew
passera,Pass
sedan,then
topp,top
hela,whole
kung,King
gata,street
tum,inch
multiplicera,Multiply
ingenting,nothing
Naturligtvis,Of course
bo,stay
hjul,wheel
fullständig,full
kraft,force
blå,blue
objektet,the object
besluta,decide
yta,surface
djup,depth
månen,the moon
ö,island
fot,Foot
systemet,the system
upptagen,busy
testet,the test
register,register
båt,Boat
gemensam,common
guld,gold
möjlig,Possible
plan,plan
stead,instead
torka,dry
undra,wonder
skratt,laugh
tusen,thousand
sedan,then
ran,robbery
ta,take
spel,game
form,form
likställa,equate
het,hot
miss,Miss
bringas,be brought
hetta,HEAT
snö,snow
däcket,the tire
bringa,bring
ja,yes
avlägsen,distant
fylla,fill
öst,east
måla,paint
språk,language
bland,among
enhet,unit
kraft,force
stad,City
fin,nice
viss,certain
flyga,fly
falla,fall
bly,lead
rop,cry
mörk,dark
maskin,machine
anteckning,note
vänta,wait
planen,the plan
figur,figure
stjärna,star
låda,box
subst,subst
fält,field
resten,the rest
korrekt,correctly
kunna,be able to
pund,pound
klar,clear
skönhet,beauty
enhet,unit
stod,stood
innehålla,contain
främre,front
undervisa,teach
vecka,week
slutlig,final
gav,gave
grön,Green
ack,Alas
sammanfattning,summary
utveckla,develop
ocean,ocean
varm,hot
fri,free
minut,minute
stark,strong
speciell,special
sinne,mind
bakom,behind
klar,clear
svans,tail
producera,produce
faktum,fact
space,space
hört,heard
bäst,best
timme,hour
bättre,better
SANT,TRUE
under,during
hundra,hundred
fem,five
minnas,Remember
steg,step
tidig,early
håll,hold
väster,west
jord,soil
intresse,interest
nå,reach
snabb,fast
verb,verb
sjunger,sings
lyssna,listen
sex,six
tabell,table
resor,trips
mindre,less
morgon,morning
tio,ten
enkel,simple
flera,several
vokal,vowel
mot,against
krig,war
låg,low
mot,against
mönster,pattern
långsam,Slow
centrum,center
kärlek,Love
personen,the person
pengar,money
tjäna,serve
synas,appear
väg,way
karta,map
regn,rain
regel,rule
regera,reign
dra,drag
förkylning,cold
meddelande,message
röst,voice
energi,energy
jakt,hunting
trolig,likely
bädd,BED
bror,Brother
ägg,egg
ritt,ride
cell,cell
tro,believe
kanske,perhaps
plocka,pick
plötslig,sudden
räkna,count
kvadrat,square
anledningen,the reason
längd,length
representerar,represents
teknikområdet,the technology area
ämne,subject
region,region
storlek,size
varierar,varies
sedimentera,settle
tala,speak
vikt,weight
allmän,general
is,ice
materia,matter
cirkel,circle
par,couple
inkluderar,includes
divide,divide
stavelse,syllable
kände,felt
stors,great
boll,ball
ännu,yet
våg,wave
släpp,release
hjärta,heart
jag,I
föreliggande,present
tung,heavy
dans,dance
motor,engine
ställning,position
beväpnar,arming
bred,wide
segel,sail
materialet,the material
fraktion,fraction
skog,forest
sitta,sit
ras,race
fönster,window
lagra,store
sommar,summer
tåg,train
sömn,sleep
bevisa,prove
ensam,alone
ben,bone
övning,exercise
vägg,wall
fångst,catch
fäste,attachment
vill,want
himmelsblå,sky blue
ombord,on board
glädje,Joy
vinter,winter
satellit,satellite
skriven,written
vild,wild
instrumentet,the instrument
hålls,held
glas,glass
gräs,grass
ko,cow
jobb,Job
kanten,the edge
tecken,sign
besök,visit
förbi,past
mjuk,soft
kul,fun
ljust,bright
gas,gas
väder,weather
månad,month
miljoner,million
bära,wear
yta,surface
lycklig,Happy
hoppas,hope
blomma,flower
kläder,clothes
främmande,foreign
borta,away
handel,trade
melodi,melody
resa,trip
kontor,office
motta,receive
rad,row
mun,mouth
exakta,exact
symbol,symbol
dö,die
minst,least
besvär,trouble
rop,cry
utom,except
skrev,wrote
frö,seed
ton,tone
ansluta,connect
föreslår,suggests
ren,clean
paus,Pause
damen,the lady
gård,courtyard
stiga,rise
dålig,Poor
smäll,bang
olja,oil
blod,Blood
Rör,Pipe
växte,grew
cent,cent
blanda,mix
lag,law
tråd,wire
kostnad,cost
förlorat,lost
brun,brown
slitage,wear and tear
trädgård,garden
lika,equal
skickat,sent
välja,choose
föll,fell
passa,fit
flöde,flow
verkligt,real
bank,Bank
samla,collect
spara,save
kontroll,control
decimala,decimal
örat,the ear
annars,otherwise
ganska,quite
bröt,broke
fall,CASE
mitten,middle
döda,kill
son,son
sjö,lake
ögonblick,moment
skala,scale
högt,high
fjäder,spring
observera,note
barn,children
rak,straight
konsonant,consonant
nation,nation
ordbok,dictionary
mjölk,milk
hastighet,speed
metod,method
organ,organ
betala,pay
okänd,unknown
sektion,section
klänning,dress
moln,cloud
överraskning,surprise
ro,tranquility
sten,Stone
liten,small
klättra,climb
sval,cool
konstruktion,Construction
dålig,Poor
mycket,very
experiment,experiment
botten,bottom
nyckel,key
järn,iron
singel,single
pinne,Stick
platt,flat
tjugo,twenty
hud,skin
le,smile
veck,fold
hål,Hole
hoppa,jump
barn,children
åtta,eight
by,village
möts,meet
rot,root
köpa,buy
höja,raise
lösa,solve
metall,metal
huruvida,whether
tryck,pressure
sju,seven
punkt,point
tredje,third
skall,bark
vänt,turned
hår,hair
beskriva,describe
kock,chef
våningen,floor
antingen,either
resultat,results
bränna,burn
kulle,hill
säker,sure
cat,cat
talet,the speech
överväga,consider
typ,type
lag,law
bitars,bitwise
kust,coastal
kopia,copy
fras,phrase
tyst,quiet
tall,pine
sand,sand
jord,soil
rulle,roll
temperatur,temperature
finger,finger
industrin,the industry
värde,value
slagsmål,fight
lie,scythe
slå,beat
excitera,excite
naturlig,natural
vy,view
känsla,feeling
kapital,capital
kommer inte,won't come
stol,chair
fara,danger
frukt,fruit
rik,Rich
tjock,thick
soldat,soldier
processen,the process
fungera,work
praktiken,the practice
separat,separate
svårt,difficult
läkare,Doctor
vänligen,Please
skydda,protect
middagstid,noon time
gröda,crop
moderna,modern
elementet,the element
hit,here
studenten,the student
hörn,corner
parti,party
försörjning,supply
vars,whose
lokalisera,locate
ring,ring
karaktär,character
insekt,insect
fångad,captured
period,period
indikerar,indicates
radio,radio
talade,spoke
atomen,the atom
humant,humanely
historia,history
effekt,effect
elektrisk,electrical
förvänta,expect
ben,bone
skena,rail
föreställa sig,imagine
tillhandahålla,provide
enas,agree
sålunda,thus
mild,mild
kvinna,woman
kapten,captain
gissa,guess
nödvändig,necessary
skarp,sharp
vinge,wing
skapa,create
granne,neighbor
tvätt,laundry
slagträ,bat
snarare,rather
publiken,the audience
majs,maize
jämföra,compare
dikt,poem
sträng,string
klocka,clock
bero,depend
kött,meat
gnida,Rub
röret,the pipe
känd,known
dollarn,the dollar
ström,Current
rädsla,fear
syn,view
tunn,thin
triangel,triangle
planet,planet
skynda,hurry
chef,manager
koloni,Colony
klocka,clock
gruva,mine
slips,tie
ange,state
större,major
färsk,fresh
sök,search
skicka,send
gul,yellow
pistol,gun
tillåta,allow
tryck,pressure
död,death
fläck,spot
öken,desert
kostym,suit
ström,Current
lift,lift
ros,Rose
anländer,arrives
mästare,Master
spår,track
förälder,parent
stranden,the beach
delning,sharing
ark,sheet
substans,substance
gynna,befriend
ansluta,connect
inlägg,posts
spendera,spend
ackord,chord
fett,fat
glad,Happy
original,original
andel,share
station,station
pappa,dad
bröd,bread
debitera,charge
ordentlig,proper
baren,the bar
erbjudandet,the offer
segment,segment
slav,slave
anka,duck
omedelbar,immediate
marknad,market
grad,degree
befolka,populate
fågelunge,baby bird
kära,dear
fiende,enemy
svara,respond
dryck,drink
inträffa,occur
stöd,support
tal,speech
natur,nature
intervall,interval
ånga,steam
rörelse,movement
bana,path
vätska,liquid
logga,log
innebar,meant
kvoten,the quota
tänder,teeth
skal,shell
hals,neck
syre,oxygen
socker,sugar
död,death
ganska,quite
Förmåga,Ability
kvinnor,women
säsong,season
lösning,solution
magnet,magnet
silver,silver
tack,thanks
gren,branch
matchen,the match
suffixet,the suffix
speciellt,especially
fig,fig
rädd,afraid
enormt,enormously
syster,Sister
stål,steel
diskutera,discuss
framåt,Forward
liknande,similar
guide,guide
erfarenhet,experience
poäng,point
äpple,apple
köpt,purchased
ledde,led
tonhöjd,pitch
kappa,coat
massa,pulp
kort,short
band,band
rep,Rope
halka,slip
win,win
dröm,dream
kväll,Evening
tillstånd,condition
foder,lining
verktyg,tool
totalt,in total
grundläggande,basic
lukt,smell
dal,valley
eller,or
dubbel,double
säte,SEAT
fortsätta,continue
blocket,the block
diagram,chart
keps,cap
sälja,sell
framgång,success
företaget,the company
subtrahera,subtract
händelse,event
särskilt,particularly
affär,business
simma,swim
term,term
motsatt,opposite
fru,wife
sko,shoe
skuldra,shoulder
spridning,spread
ordna,arrange
läger,camp
uppfinna,invent
bomull,cotton
Född,Born
bestämma,determine
quart,quart
nio,nine
lastbil,truck
buller,noise
nivå,level
chans,chance
samla,collect
butik,store
sträcka,stretch
kasta,throw
glans,gloss
egenskap,property
kolonn,column
molekyl,molecular
välj,choose
fel,wrong
grå,gray
upprepning,repetition
kräva,demand
bred,wide
förbereda,prepare
salt,salt
näsa,nose
plural,plural
ilska,anger
krav,claim
kontinent,Continent